comparison,metric,n,mean_delta_pp,sd_delta_pp,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,exact_sign_flip_p_two_sided,interpretation
M6_minus_M1,Rank-1,6,-1.1805544296900432,3.2606276519390325,-3.319441278775533,1.2638876835505168,0.46875,M6 worse
M6_minus_M1,Rank-5,6,-1.0000030199686687,1.8737963493541958,-2.402780453364054,0.3888865311940511,0.25,M6 worse
M6_minus_M1,Macro-F1,6,-1.307480698037189,3.6234016256816775,-3.6794494034763705,1.4429795447416274,0.46875,M6 worse
M6_minus_M1,EER,6,1.0147642390319584,0.7306264404062244,0.47873482727994343,1.5230158730061794,0.03125,M6 worse
M6_minus_M1,TAR@FAR=1e-2,6,-2.3902777777777735,4.146053735068331,-5.290277777777773,0.6083333333333347,0.25,M6 worse
M6_minus_M1,TAR@FAR=1e-3,6,-2.0680555555555555,8.91230020294466,-8.469444444444443,3.6196527777777705,0.5625,M6 worse
M4_minus_M1,Rank-1,6,0.4305561383565267,3.407269180261855,-1.7920121798912654,3.125,0.8125,M4 better
M4_minus_M1,Rank-5,6,0.16666452089945474,1.6261753762886155,-0.8750031391779581,1.4583319425582886,0.8125,M4 better
M4_minus_M1,Macro-F1,6,0.49110822236440216,3.934651497959624,-2.0715528941344283,3.5950482006214393,0.84375,M4 better
M4_minus_M1,EER,6,0.47005135386209657,0.6677697173165233,-0.03106909440639442,0.9359710551033578,0.1875,M4 worse
M4_minus_M1,TAR@FAR=1e-2,6,-0.819444444444445,4.057125647366436,-3.797222222222222,2.2402777777777776,0.65625,M4 worse
M4_minus_M1,TAR@FAR=1e-3,6,0.881944444444447,8.282953406221095,-5.3749999999999964,6.76527777777778,0.8125,M4 better
M4_minus_M6,Rank-1,6,1.6111105680465698,2.8287524630048027,-0.6388882795969645,3.4999966621398926,0.15625,M4 better
M4_minus_M6,Rank-5,6,1.1666675408681233,1.7740434960332596,-0.1666665325562159,2.375003695487976,0.1875,M4 better
M4_minus_M6,Macro-F1,6,1.798588920401591,3.0792987895334454,-0.6714977147444882,3.8463378119007925,0.15625,M4 better
M4_minus_M6,EER,6,-0.5447128851698618,0.7710047178262054,-1.0656045751906256,0.05394491130864824,0.15625,M4 better
M4_minus_M6,TAR@FAR=1e-2,6,1.5708333333333286,3.7899052685317143,-1.2667013888888936,4.179166666666663,0.3125,M4 better
M4_minus_M6,TAR@FAR=1e-3,6,2.950000000000003,7.249994252871286,-2.574999999999998,7.980555555555558,0.4375,M4 better
