method,dataset,direction,seed,config_path,split_hash,checkpoint_path,selected_epoch,selection_metric,selection_partition,uses_test_gallery_probe,verdict
B0,Tongji,S1->S2,42,configs/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42.yaml,c245c39aa382,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,15,val_rank1,val,False,PASS
B0,Tongji,S1->S2,2026,configs/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026.yaml,0f744aa2a64e,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,23,val_rank1,val,False,PASS
B0,Tongji,S1->S2,2705,configs/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705.yaml,949b20263867,experiments/b0_resnet18_ce_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,31,val_rank1,val,False,PASS
B0,Tongji,S2->S1,42,configs/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42.yaml,35ef64d88d36,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,21,val_rank1,val,False,PASS
B0,Tongji,S2->S1,2026,configs/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026.yaml,982ceee99edc,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,22,val_rank1,val,False,PASS
B0,Tongji,S2->S1,2705,configs/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705.yaml,532590bda722,experiments/b0_resnet18_ce_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,21,val_rank1,val,False,PASS
B1,Tongji,S1->S2,42,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42.yaml,c245c39aa382,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,14,val_rank1,val,False,PASS
B1,Tongji,S1->S2,2026,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026.yaml,0f744aa2a64e,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,24,val_rank1,val,False,PASS
B1,Tongji,S1->S2,2705,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705.yaml,949b20263867,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,26,val_rank1,val,False,PASS
B1,Tongji,S2->S1,42,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42.yaml,35ef64d88d36,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,23,val_rank1,val,False,PASS
B1,Tongji,S2->S1,2026,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026.yaml,982ceee99edc,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,23,val_rank1,val,False,PASS
B1,Tongji,S2->S1,2705,configs/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705.yaml,532590bda722,experiments/b1_resnet18_ce_supcon_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,38,val_rank1,val,False,PASS
B4,Tongji,S1->S2,42,configs/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42.yaml,c245c39aa382,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,15,val_rank1,val,False,PASS
B4,Tongji,S1->S2,2026,configs/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2026.yaml,0f744aa2a64e,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,19,val_rank1,val,False,PASS
B4,Tongji,S1->S2,2705,configs/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2705.yaml,949b20263867,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,25,val_rank1,val,False,PASS
B4,Tongji,S2->S1,42,configs/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed42.yaml,35ef64d88d36,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,16,val_rank1,val,False,PASS
B4,Tongji,S2->S1,2026,configs/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2026.yaml,982ceee99edc,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,19,val_rank1,val,False,PASS
B4,Tongji,S2->S1,2705,configs/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2705.yaml,532590bda722,experiments/b4_resnet18_arcface_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,18,val_rank1,val,False,PASS
B5,Tongji,S1->S2,42,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42.yaml,c245c39aa382,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,23,val_rank1,val,False,PASS
B5,Tongji,S1->S2,2026,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026.yaml,0f744aa2a64e,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,29,val_rank1,val,False,PASS
B5,Tongji,S1->S2,2705,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705.yaml,949b20263867,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,31,val_rank1,val,False,PASS
B5,Tongji,S2->S1,42,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42.yaml,35ef64d88d36,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,27,val_rank1,val,False,PASS
B5,Tongji,S2->S1,2026,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026.yaml,982ceee99edc,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,19,val_rank1,val,False,PASS
B5,Tongji,S2->S1,2705,configs/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705.yaml,532590bda722,experiments/b5_resnet18_bnneck_ce_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,20,val_rank1,val,False,PASS
B6,Tongji,S1->S2,42,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42.yaml,c245c39aa382,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,16,val_rank1,val,False,PASS
B6,Tongji,S1->S2,2026,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026.yaml,0f744aa2a64e,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,23,val_rank1,val,False,PASS
B6,Tongji,S1->S2,2705,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705.yaml,949b20263867,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,18,val_rank1,val,False,PASS
B6,Tongji,S2->S1,42,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42.yaml,35ef64d88d36,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,16,val_rank1,val,False,PASS
B6,Tongji,S2->S1,2026,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026.yaml,982ceee99edc,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,24,val_rank1,val,False,PASS
B6,Tongji,S2->S1,2705,configs/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705.yaml,532590bda722,experiments/b6_resnet18_bnneck_arcface_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,20,val_rank1,val,False,PASS
B7,Tongji,S1->S2,42,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed42.yaml,c245c39aa382,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed42/checkpoints/best.pt,18,val_rank1,val,False,PASS
B7,Tongji,S1->S2,2026,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2026.yaml,0f744aa2a64e,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2026/checkpoints/best.pt,22,val_rank1,val,False,PASS
B7,Tongji,S1->S2,2705,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2705.yaml,949b20263867,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,15,val_rank1,val,False,PASS
B7,Tongji,S2->S1,42,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42.yaml,35ef64d88d36,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,20,val_rank1,val,False,PASS
B7,Tongji,S2->S1,2026,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026.yaml,982ceee99edc,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,27,val_rank1,val,False,PASS
B7,Tongji,S2->S1,2705,configs/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705.yaml,532590bda722,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,19,val_rank1,val,False,PASS
B1,IITD,within,42,configs/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed42.yaml,7a974ed6b573,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed42/checkpoints/best.pt,30,val_rank1,val,False,PASS
B1,IITD,within,2026,configs/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2026.yaml,90ff94115a79,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2026/checkpoints/best.pt,38,val_rank1,val,False,PASS
B1,IITD,within,2705,configs/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2705.yaml,672e509b088c,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2705/checkpoints/best.pt,53,val_rank1,val,False,PASS
B6,IITD,within,42,configs/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed42.yaml,7a974ed6b573,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed42/checkpoints/best.pt,38,val_rank1,val,False,PASS
B6,IITD,within,2026,configs/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2026.yaml,90ff94115a79,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2026/checkpoints/best.pt,36,val_rank1,val,False,PASS
B6,IITD,within,2705,configs/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2705.yaml,672e509b088c,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2705/checkpoints/best.pt,60,val_rank1,val,False,PASS
