method,method_label,direction,n,genuine_mean_mean,genuine_mean_std,genuine_std_mean,genuine_std_std,impostor_mean_mean,impostor_mean_std,impostor_std_mean,impostor_std_std,impostor_q0.990_mean,impostor_q0.990_std,impostor_q0.999_mean,impostor_q0.999_std,genuine_q0.001_mean,genuine_q0.001_std,genuine_q0.010_mean,genuine_q0.010_std,d_prime_mean,d_prime_std
B0,ResNet18 + CE,ALL,6,0.49921787281831104,0.009678639036345082,0.16076680024464926,0.005804199018075159,0.031389726946751274,0.005784480528457153,0.10893310358126958,0.006438660585638263,0.3069543292125066,0.013532867524337624,0.4054441303014755,0.01679608945852734,0.026417805813252926,0.032645386132909376,0.1166559470196565,0.021537401559510228,3.4113855339913286,0.14420645280096797
B0,ResNet18 + CE,S1->S2,3,0.5037470360596975,0.009597495389261869,0.16278259952863058,0.00797097219925434,0.031333653877178826,0.007536293424437734,0.11046369870503743,0.009827142762702029,0.3100169201691945,0.019816480824551216,0.4098585943380992,0.024091762174041527,0.023820421968897183,0.04647658411058858,0.11200775454441707,0.029570361432438762,3.404664080365771,0.22488080710808236
B0,ResNet18 + CE,S2->S1,3,0.4946887095769246,0.008974310961927757,0.15875100096066794,0.0029146316306485763,0.03144580001632372,0.005181253353546088,0.10740250845750172,0.0001999404046121992,0.30389173825581867,0.006083991798516319,0.40102966626485187,0.008148378360423914,0.02901518965760867,0.021999795688221815,0.12130413949489594,0.014846744078527941,3.418106987616886,0.035802812061211074
B1,ResNet18 + CE + SupCon,ALL,6,0.5482142964998881,0.0140947092398464,0.15575045347213745,0.0036374271706461426,0.029694397933781147,0.0035109867341550005,0.12517993648846945,0.019237079994559203,0.3496289749940236,0.04549342083822717,0.4591621657212575,0.04978090785262786,0.038908812683075666,0.02752866633860021,0.15919929991165796,0.016968189087590155,3.6664294386923832,0.12370851554725547
B1,ResNet18 + CE + SupCon,S1->S2,3,0.5567713181177775,0.016525501425218646,0.15607591470082602,0.0012332353742085318,0.030060974260171253,0.00252407734902343,0.13383435706297556,0.02409012665765055,0.3732739984989166,0.055083405607814405,0.486880083878835,0.05681742728760931,0.01922449003905058,0.026343148283541826,0.16549198826154074,0.016794857528488763,3.6209728577223927,0.16780082244114336
B1,ResNet18 + CE + SupCon,S2->S1,3,0.5396572748819987,0.001972819588189823,0.15542499224344888,0.005589145420549491,0.02932782160739104,0.004903413968396798,0.11652551591396332,0.01096047115637482,0.3259839514891307,0.021510122405841398,0.43144424756368,0.025734761744113727,0.058593135327100754,0.00617976865295471,0.1529066115617752,0.017858823669885077,3.7118860196623737,0.06247778625156177
B4,ResNet18 + ArcFace,ALL,6,0.4851750632127126,0.004274605046612148,0.15927521387736002,0.004934642334618923,0.037654356410106025,0.006492096275935972,0.10298898816108704,0.004992733477869798,0.2997249762217204,0.013498397305455954,0.39703749120235443,0.01605773708980646,0.0016513136603559058,0.016432622992218992,0.10449932143092155,0.0038596170773784653,3.336682056407669,0.08668821324483321
B4,ResNet18 + ArcFace,S1->S2,3,0.48444674412409466,0.003825526619391861,0.15937386453151703,0.00235921561367311,0.03302307923634847,0.0032737527822339903,0.1019677221775055,0.007150048176090921,0.292945921421051,0.017639264113642764,0.389545480410258,0.02089255778746999,0.011687424732372165,0.012533351774705331,0.10568736493587494,0.0009596770083473159,3.373590451052051,0.08325714464884634
B4,ResNet18 + ArcFace,S2->S1,3,0.48590338230133057,0.005427211140272093,0.15917656322320303,0.007435162624989278,0.04228563358386358,0.0055049653114589425,0.10401025414466858,0.0028401280612889938,0.3065040310223897,0.0025507712750404373,0.40452950199445087,0.006303780856273712,-0.008384797411660353,0.014690890475153616,0.10331127792596817,0.005664475959048859,3.299773661763287,0.08814008661329377
B5,ResNet18 + BNNeck + CE,ALL,6,0.49804240961869556,0.006119862630964048,0.1600941369930903,0.003609879128162193,0.020625189878046513,0.0031114260494626866,0.10960473368565242,0.005101433084626467,0.3000565518935521,0.017371407276837315,0.40224086741606396,0.02168402068267665,-0.0011062124782862763,0.02020875508652444,0.11119301492969196,0.01369890872296858,3.481496208394172,0.11277917007828192
B5,ResNet18 + BNNeck + CE,S1->S2,3,0.49954039851824444,0.008525564496319561,0.15909879902998605,0.00308300844599246,0.019496046627561252,0.003324463547748767,0.10725285361210506,0.004213072363352196,0.2920788625876109,0.013138999362021017,0.3929315209388733,0.016804664122286008,-3.684901942809423e-05,0.024921836482217085,0.11318947374820709,0.020458861939544163,3.5386991130314183,0.10670812043273706
B5,ResNet18 + BNNeck + CE,S2->S1,3,0.49654442071914673,0.0037702300121154656,0.16108947495619455,0.004483417696289539,0.021754333128531773,0.0030537646982909256,0.11195661375919978,0.005542341600119418,0.3080342411994934,0.019769941646924843,0.4115502138932546,0.02516154507690017,-0.0021755759371444583,0.019911200543915694,0.1091965561111768,0.0062151166680242,3.4242933037569254,0.10293062297374787
B6,ResNet18 + BNNeck + ArcFace,ALL,6,0.48103220760822296,0.008766750146273273,0.16145966947078705,0.0030379423845198145,0.026407398904363315,0.005443998629162587,0.10658913354078929,0.006647308899443008,0.29713955024878186,0.0211249853622428,0.3967933307091395,0.02494884212499995,-0.004941470067327221,0.020622513280094554,0.09693022941549619,0.013341388709978157,3.3232666022272666,0.09190728063504601
B6,ResNet18 + BNNeck + ArcFace,S1->S2,3,0.484915832678477,0.009517744507311599,0.16105911135673523,0.0010396004788983829,0.027262236922979355,0.007751543079359903,0.1082843616604805,0.008423809105908326,0.30294864376386005,0.029075795019566576,0.40473612149556476,0.03310458812531823,0.005849504532913367,0.01777611372335493,0.10093726962804794,0.011367763005485561,3.3340055409525347,0.06458704982928902
B6,ResNet18 + BNNeck + ArcFace,S2->S1,3,0.47714858253796893,0.007503644364745685,0.16186022758483887,0.00463795485804151,0.025552560885747273,0.0034371701238698846,0.10489390542109807,0.005557412529709854,0.2913304567337036,0.013000921427606867,0.38885053992271423,0.01646008132020321,-0.01573244466756781,0.019947293485443846,0.09292318920294444,0.016358070859148553,3.312527663501998,0.1288406347540887
B7,ResNet18 + BNNeck + ArcFace + light SupCon,ALL,6,0.4866030812263489,0.007489566777020291,0.16012303282817206,0.00426879005947885,0.027715332185228665,0.005477193769692149,0.1058071826895078,0.009487138342555382,0.2960811108350754,0.028891559698344952,0.39545340339342755,0.03590765348254648,0.008149738345916072,0.036505033740217345,0.11067886526385944,0.008172253693591893,3.38500640618348,0.1337915609679592
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S1->S2,3,0.49140403668085736,0.006947005293339595,0.1617747793594996,0.004197528924581003,0.029145164415240288,0.006283076174503619,0.11114908754825592,0.010381820511143234,0.3124210039774577,0.03197232156612746,0.41516052683194477,0.04057994750827098,-0.00032182053352395695,0.04794181466785746,0.10861476510763168,0.008233746265640484,3.3338694230529082,0.14298025405286685
B7,ResNet18 + BNNeck + ArcFace + light SupCon,S2->S1,3,0.4818021257718404,0.004777616968155065,0.15847128629684448,0.0044443641329004,0.026285499955217045,0.0054211458331547575,0.10046527783075969,0.005623561606456946,0.27974121769269306,0.0162357594360812,0.3757462799549103,0.02028681010212508,0.016621297225356102,0.02859762573615801,0.11274296542008717,0.009294526354220477,3.436143389314052,0.12830482565163445
B8,ResNet18 + CosFace,ALL,6,0.4824339995781581,0.004736117807906098,0.15919153640667597,0.004586352018250123,0.03106575304021438,0.0025148576656079044,0.10289709021647771,0.004762263415593843,0.289214422305425,0.013633967376260625,0.38458935419718426,0.015486953247595525,-0.03442211744065086,0.05789255825811809,0.0945340742667516,0.006859917911595487,3.3671921592009513,0.05402586511887415
B8,ResNet18 + CosFace,S1->S2,3,0.4853094220161438,0.003818598463844742,0.1591009497642517,0.005620032879737101,0.03238730691373348,0.002028924373535437,0.1058527131875356,0.00523014488082071,0.29853833715120953,0.011016293986511957,0.3954303363958995,0.011859279304284698,-0.011874303842584292,0.002346124261029441,0.09426957617203395,0.008269366600171009,3.3503739523049623,0.029310173579092214
B8,ResNet18 + CosFace,S2->S1,3,0.4795585771401723,0.0040854831914010105,0.15928212304910025,0.00458008457340956,0.029744199166695278,0.0025407134156179238,0.09994146724541982,0.0017709729481978347,0.2798905074596405,0.009085580261643507,0.37374837199846905,0.010314606706870039,-0.056969931038717427,0.08275357853873351,0.09479857236146927,0.0070038477060984,3.3840103660969403,0.07476190694318575
